Timeperiod,output_voltage,output_current,switch1_voltage,switch1_current,switch2_voltage,switch2_current,switch3_voltage,switch3_current,switch4_voltage,switch4_current,switch5_voltage,switch5_current,switch6_voltage,switch6_current,switch7_voltage,switch7_current,switch8_voltage,switch8_current,Activity
0,0,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,nf
3.16E-30,0,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,nf
0.0025,0,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,nf
0.0025,99.6915721,0.996915721,0.099791373,0.997913725,99.90020863,0,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,-0.009053778,-0.99591554,99.90020863,0,100.0090538,0,nf
0.005,99.6915721,0.996915721,0.099791373,0.997913725,99.90020863,0,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,-0.009053778,-0.99591554,99.90020863,0,100.0090538,0,nf
0.005,199.2027904,1.992027904,0.199302392,1.993023918,99.80069761,0,99.80069761,0,0.199302392,1.993023918,0.199302392,1.993023918,99.80069761,0,99.80069761,0,0.199302392,1.993023918,nf
0.0075,199.2027904,1.992027904,0.199302392,1.993023918,99.80069761,0,99.80069761,0,0.199302392,1.993023918,0.199302392,1.993023918,99.80069761,0,99.80069761,0,0.199302392,1.993023918,nf
0.0075,99.6915721,0.996915721,0.099791373,0.997913725,99.90020863,0,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,-0.009053778,-0.99591554,99.90020863,0,100.0090538,0,nf
0.01,99.6915721,0.996915721,0.099791373,0.997913725,99.90020863,0,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,-0.009053778,-0.99591554,99.90020863,0,100.0090538,0,nf
0.01,0,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,nf
0.0125,0,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,1.00E-04,0.000999998,1.00E-04,0.000999998,99.9999,0,99.9999,0,nf
0.0125,-99.6915721,-0.996915721,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,99.90020863,0,-0.009053778,-0.99591554,0.099791373,0.997913725,100.0090538,0,99.90020863,0,nf
0.015,-99.6915721,-0.996915721,99.90020863,0,0.099791373,0.997913725,0.099791373,0.997913725,99.90020863,0,-0.009053778,-0.99591554,0.099791373,0.997913725,100.0090538,0,99.90020863,0,nf
